,sepal_length,sepal_width,petal_length,petal_width,type,soil,sepal_length_cat,petal_width_perc
99,6.0,3.4,4.5,1.6,Versicolour,Sun,long,0.1032258064516129
100,6.0,2.2,5.0,1.5,Virginica,Sun,long,0.10204081632653061
101,4.9,2.5,4.5,1.7,Virginica,Sun,very short,0.125
102,6.7,2.5,5.8,1.8,Virginica,Shade,very long,0.10714285714285714
103,5.7,2.5,5.0,2.0,Virginica,Sun,short,0.13157894736842105
104,6.3,2.5,5.0,1.9,Virginica,Sun,long,0.12101910828025476
105,7.7,2.6,6.9,2.3,Virginica,Sun,very long,0.11794871794871792
106,6.1,2.6,5.6,1.4,Virginica,Sun,long,0.08917197452229299
107,5.8,2.7,5.1,1.9,Virginica,Sun,short,0.12258064516129032
108,6.4,2.7,5.3,1.9,Virginica,Sun,long,0.1165644171779141
109,6.3,2.7,4.9,1.8,Virginica,Sun,long,0.11464968152866241
110,5.8,2.7,5.1,1.9,Virginica,Sun,short,0.12258064516129032
111,5.8,2.8,5.1,2.4,Virginica,Sun,short,0.14906832298136646
112,5.6,2.8,4.9,2.0,Virginica,Sun,short,0.13071895424836602
113,7.7,2.8,6.7,2.0,Virginica,Shade,very long,0.10416666666666667
114,6.2,2.8,4.8,1.8,Virginica,Sun,long,0.11538461538461538
115,6.4,2.8,5.6,2.1,Virginica,Shade,long,0.12426035502958581
116,7.4,2.8,6.1,1.9,Virginica,Shade,very long,0.10439560439560441
117,6.4,2.8,5.6,2.2,Virginica,Shade,long,0.12941176470588237
118,6.3,2.8,5.1,1.5,Virginica,Shade,long,0.09554140127388536
119,6.3,2.9,5.6,1.8,Virginica,Sun,long,0.10843373493975905
120,7.3,2.9,6.3,1.8,Virginica,Shade,very long,0.09836065573770492
121,7.1,3.0,5.9,2.1,Virginica,Sun,very long,0.11602209944751381
122,6.5,3.0,5.8,2.2,Virginica,Shade,very long,0.12571428571428572
123,7.6,3.0,6.6,2.1,Virginica,Sun,very long,0.10880829015544041
124,6.8,3.0,5.5,2.1,Virginica,Shade,very long,0.12068965517241378
125,6.5,3.0,5.5,1.8,Virginica,Sun,very long,0.10714285714285714
126,6.1,3.0,4.9,1.8,Virginica,Sun,long,0.11392405063291139
127,7.2,3.0,5.8,1.6,Virginica,Shade,very long,0.09090909090909091
128,7.7,3.0,6.1,2.3,Virginica,Shade,very long,0.12041884816753927
129,6.0,3.0,4.8,1.8,Virginica,Shade,long,0.11538461538461538
130,6.7,3.0,5.2,2.3,Virginica,Shade,very long,0.13372093023255813
131,6.5,3.0,5.2,2.0,Virginica,Shade,very long,0.11976047904191617
132,5.9,3.0,5.1,1.8,Virginica,Shade,long,0.11392405063291139
133,6.4,3.1,5.5,1.8,Virginica,Shade,long,0.10714285714285714
134,6.9,3.1,5.4,2.1,Virginica,Shade,very long,0.12000000000000001
135,6.7,3.1,5.6,2.4,Virginica,Shade,very long,0.1348314606741573
136,6.9,3.1,5.1,2.3,Virginica,Shade,very long,0.13218390804597702
137,6.5,3.2,5.1,2.0,Virginica,Shade,very long,0.11904761904761907
138,6.4,3.2,5.3,2.3,Virginica,Sun,long,0.1337209302325581
139,6.9,3.2,5.7,2.3,Virginica,Shade,very long,0.12707182320441987
140,7.2,3.2,6.0,1.8,Virginica,Shade,very long,0.09890109890109891
141,6.8,3.2,5.9,2.3,Virginica,Shade,very long,0.12637362637362637
142,6.3,3.3,6.0,2.5,Virginica,Shade,long,0.13812154696132595
143,6.7,3.3,5.7,2.1,Virginica,Shade,very long,0.11797752808988764
144,6.7,3.3,5.7,2.5,Virginica,Shade,very long,0.13736263736263737
145,6.3,3.4,5.6,2.4,Virginica,Shade,long,0.13559322033898305
146,6.2,3.4,5.4,2.3,Virginica,Shade,long,0.1329479768786127
147,7.2,3.6,6.1,2.5,Virginica,Shade,very long,0.1288659793814433
148,7.7,3.8,6.7,2.2,Virginica,Shade,very long,0.10784313725490198
149,7.9,3.8,6.4,2.0,Virginica,Shade,very long,0.09950248756218905
